停课不停学,#genre#
4月7日科学,https://i3.vzan.cc/mps/20220331/2a351ba2f196417d95f49b3ba2b08f56/aa2121c374d642a2aa7fe2b6277c5731_transcode_100230.m3u8
4月8日数学,https://i3.vzan.cc/mps/20220331/2087c8b61f514892a5942d4e9de17d07/22973223212b49c8a3581f397b8e404d_transcode_100230.m3u8
4月8日道法,https://i3.vzan.cc/mps/20220331/72112fe48cd04a9f9561d89b823673b5/d803c70e0002451280b46329c1945b16_transcode_100230.m3u8
4月8日体育,https://i3.vzan.cc/mps/20220319/d68d1c00268649c3846321ac138a588e/a79bb3afb8204965b0a465be887db942_transcode_100230.m3u8
4月8日综合,https://i3.vzan.cc/mps/20220331/7b7be89d4c5f49fe8c29ec07a151d017/29b2e4af0da94ca8b5527dd7fe9055f8_transcode_100230.m3u8
4月11日语文,https://i3.vzan.cc/mps/20220410/ed63d4fdcf9e49dc9905e64770f77ffd/f24fc15aaf284ce58bed12b4bf6baab4_transcode_100230.m3u8
4月11日数学,https://i3.vzan.cc/mps/20220410/3455fbd7180845d897e314bbc1f8db3c/5f9809208e95421fb6b9bfdd48b0d30e_transcode_100230.m3u8
4月11日体育,https://i3.vzan.cc/mps/20220410/a40cf32d3d264bc49e6f652c1368d73e/3b587deaa3aa40b5b248952203826007_transcode_100230.m3u8
4月11日美术,https://i3.vzan.cc/mps/20220410/7b0b027c366e4a988e91279668b38b65/53697883503d4e0db47ecc62322aaa09_transcode_100230.m3u8
4月12日数学,https://i3.vzan.cc/mps/20220410/855788fa12f94e85acd09ca83d4d8581/45ec37299e1642ba82d690b805f57adb_transcode_100230.m3u8
4月12日英语,https://i3.vzan.cc/mps/20220410/35ee922305cf488e84d153be40f12405/86437f6f35cd46ec87ed8bc9db8a5915_transcode_100230.m3u8
4月12日体育,https://i3.vzan.cc/mps/20220331/9a460564ac104079adf064264ba2fb72/dfa14010a68f47ee8d12c7877cdcd80e_transcode_100230.m3u8
4月12日道法,https://i3.vzan.cc/mps/20220410/5dacfe4c9ebc4204beb35e3da26c2c68/86cf6f0564f84f74b333430288af978f_transcode_100230.m3u8
4月13日语文,https://i3.vzan.cc/mps/20220410/914a928578e44fa78ad78c4bf9089b48/9a456e28381443fea412c4570af85989_transcode_100230.m3u8
4月13日数学,https://i3.vzan.cc/mps/20220410/7a00e8096ed54366b4568b2507ec55ec/738d578b1e024fa6bc7b284ec942bd1a_transcode_100230.m3u8
4月13日体育,https://i3.vzan.cc/mps/20220410/a40cf32d3d264bc49e6f652c1368d73e/3b587deaa3aa40b5b248952203826007_transcode_100230.m3u8
4月13日科学,https://i3.vzan.cc/mps/20220410/c32575a809d44d149754e8b5fdb1de12/b67bb787a16343dc8cd0383c0e544bc6_transcode_100230.m3u8
4月14日语文,https://i3.vzan.cc/mps/20220410/2c03848919fb45549cb20aa74bbb3085/4de80399c2a74f6d997b5cc9523fe61a_transcode_100230.m3u8
4月14日英语,https://i3.vzan.cc/mps/20220410/4669efb3dd03481da1c587e0dd4e1bef/3ab8f230d63c41babf8fd10248f7e549_transcode_100230.m3u8
4月14日体育,https://i3.vzan.cc/mps/20220331/9a460564ac104079adf064264ba2fb72/dfa14010a68f47ee8d12c7877cdcd80e_transcode_100230.m3u8
4月14日信息,https://i3.vzan.cc/mps/20220410/68ddce75c3de4686b239cddc99107f6d/92b75f7f252a49c4ae3b039070fbfc5e_transcode_100230.m3u8
